h,dt,steps,maximum_wave_outside_cone,maximum_structure_outside_cone,first_branch_wave_above_1e_10,first_branch_structure_above_1e_10,first_sensor_wave_above_1e_10,first_sensor_structure_above_1e_10,maximum_delta_a,maximum_projection_correction
0.04,0.010752688172043012,465,0.25599484213386836,0.0038523373442345132,1.4623655913978495,2.2365591397849465,2.064516129032258,3.0000000000000004,0.1365292305625161,0.0
0.02,0.005382131324004306,929,0.038484855588016315,3.596286648210878e-05,2.055974165769645,2.793326157158235,2.7717976318622175,3.589881593110872,0.10795060765612807,0.0
0.01,0.002691065662002153,1858,0.0030708843330590763,1.0252644400132738e-07,2.572658772874058,3.183530678148547,3.379978471474704,4.047362755651238,0.07852394846584776,0.0
0.005,0.0013458950201884253,3715,0.00022375926892452544,2.935047760388443e-10,2.9596231493943472,3.4629878869448185,3.80349932705249,4.376850605652759,0.0672685766845138,0.0
0.0025,0.0006730380939561179,7429,1.470820559783418e-05,6.727951529228449e-13,3.235967155741015,3.6519046978058958,4.126396554044959,4.588773724592812,0.0657398136711238,0.0
