coarse_h,fine_h,p_relative_error,s_relative_error,delta_a_relative_error,p_observed_order,s_observed_order,delta_a_observed_order
0.04,0.02,0.7407976539623066,0.7356264302752288,0.3378513669262664,,,
0.02,0.01,0.632732682446811,0.6304446381288296,0.38938376757555093,0.22748341263452806,0.22260362789913157,-0.20480405081559244
0.01,0.005,0.30615216613632235,0.30519843689273235,0.1605389209518331,1.0473472263765393,1.0466221140098086,1.2782696372017335
0.005,0.0025,0.07923542323376584,0.07907036570163566,0.02373201358053269,1.9500314353654022,1.9485385710059886,2.758016687203769
