coarse_h,fine_h,p_relative_error,s_relative_error,delta_a_relative_error,p_observed_order,s_observed_order,delta_a_observed_order
0.04,0.02,0.7407952114294101,0.7356231484221164,0.33785135188741294,,,
0.02,0.01,0.6327294456294701,0.6304411963879115,0.3893837347416764,0.22748603611403334,0.22260506760608967,-0.20480399338271443
0.01,0.005,0.30615057543448293,0.30519666502344084,0.16053890344518693,1.0473473420415116,1.0466226137657333,1.2782696728746428
0.005,0.0025,0.07923501420377196,0.07906990790503443,0.023732010898361838,1.9500313869237356,1.9485385480762991,2.7580166929310796
